run: 292 municipalities · 20.1 GB used · 1086.3 GB free
OK villadereyes (212/292) 27 AGEB in 0.0 min · 20.7 GB
FAIL comalcalco (213/292): RuntimeError: comalcalco/s2: the typical pixel was composited from 6 observations, fewer than the 8 required. Comparing cities built at different depths mixes signal with sampling noise, and validation splits precisely by city.
OK atotonilcodetula (214/292) 77 AGEB in 0.0 min · 20.7 GB
OK allende05003 (215/292) 48 AGEB in 0.0 min · 20.7 GB
OK cananea (216/292) 37 AGEB in 0.0 min · 20.7 GB
OK nochistlandemejia (217/292) 37 AGEB in 0.0 min · 20.7 GB
OK magdalena (218/292) 37 AGEB in 0.0 min · 20.7 GB
OK tepeaca (219/292) 87 AGEB in 0.0 min · 20.7 GB
OK tizimin (220/292) 32 AGEB in 0.0 min · 20.7 GB
OK tamazuladegordiano (221/292) 27 AGEB in 0.0 min · 20.7 GB
OK generalpanfilonatera (222/292) 19 AGEB in 0.0 min · 20.7 GB
OK jalpa (223/292) 36 AGEB in 0.0 min · 20.7 GB
OK castanos (224/292) 57 AGEB in 0.0 min · 20.7 GB
OK teocaltiche (225/292) 34 AGEB in 0.0 min · 20.7 GB
OK laschoapas (226/292) 36 AGEB in 0.0 min · 20.7 GB
OK coyucadebenitez (227/292) 20 AGEB in 0.0 min · 20.7 GB
OK sanmiguelelalto (228/292) 36 AGEB in 0.0 min · 20.7 GB
OK tlaltizapandezapata (229/292) 76 AGEB in 0.0 min · 20.7 GB
OK jaraldelprogreso (230/292) 48 AGEB in 0.0 min · 20.7 GB
FAIL amozoc (231/292): RuntimeError: amozoc/s2: the typical pixel was composited from 4 observations, fewer than the 8 required. Comparing cities built at different depths mixes signal with sampling noise, and validation splits precisely by city.
OK atoyacdealvarez (232/292) 24 AGEB in 0.0 min · 20.7 GB
OK abasolo (233/292) 29 AGEB in 0.0 min · 20.7 GB
OK zapotiltic (234/292) 63 AGEB in 0.0 min · 20.7 GB
OK morelos (235/292) 57 AGEB in 0.0 min · 20.7 GB
OK palmardebravo (236/292) 44 AGEB in 0.0 min · 20.7 GB
OK guadalupeycalvo (237/292) 28 AGEB in 0.0 min · 20.7 GB
OK tarimoro (238/292) 35 AGEB in 0.0 min · 20.7 GB
OK tantoyuca (239/292) 35 AGEB in 0.0 min · 20.7 GB
OK nacajuca (240/292) 113 AGEB in 0.0 min · 20.7 GB
OK salinasvictoria (241/292) 106 AGEB in 0.0 min · 20.7 GB
OK nuevoideal (242/292) 35 AGEB in 0.0 min · 20.7 GB
OK namiquipa (243/292) 27 AGEB in 0.0 min · 20.7 GB
OK villadetututepec (244/292) 19 AGEB in 0.0 min · 20.7 GB
OK latrinitaria (245/292) 14 AGEB in 0.0 min · 20.7 GB
OK huamantla (246/292) 39 AGEB in 0.0 min · 20.7 GB
OK paracho (247/292) 23 AGEB in 0.0 min · 20.7 GB
OK chiapadecorzo (248/292) 108 AGEB in 0.0 min · 20.7 GB
OK elcarmen (249/292) 130 AGEB in 0.0 min · 20.7 GB
