country,municipality,lon,lat,tokens,score,split
brazil,2314003,-39.29992434993433,-6.790943664488752,209,2.0290968,
brazil,2400208,-36.91974893799265,-5.580344071026532,518,1.5619437,
brazil,2401008,-37.79791435504878,-5.6595658225092755,183,1.7087064,
brazil,2402006,-37.08817459120627,-6.458944681460136,682,1.6762654,
brazil,2402204,-35.147574862528366,-6.378750736601334,254,2.0909517,
brazil,2402600,-35.42000705449659,-5.657355773282644,484,2.1152205,
brazil,2403103,-36.51823548857259,-6.26046580961016,400,1.8114108,
brazil,2403251,-35.24283105746188,-5.913474017972755,3942,1.7597653,
brazil,2403608,-35.26503709885212,-5.694097633260279,1328,1.8743356,
brazil,2404200,-35.20860092837705,-6.2774117383722805,248,2.122123,
brazil,2405801,-35.81538499449779,-5.536211739969498,259,1.9414927,
brazil,2407104,-35.328897983181534,-5.881571205489444,1610,2.020336,
brazil,2407203,-36.613014246344505,-5.131950090010222,241,1.8403945,
brazil,2408003,-37.34454706188981,-5.18940008199414,2423,1.5178018,
brazil,2408102,-35.237970349981055,-5.797219461485525,7858,1.6621135,
brazil,2408201,-35.16518476333796,-6.03598546462823,790,2.2684238,
brazil,2408300,-35.43237047493665,-6.479370828590585,149,1.7603737,
brazil,2409407,-38.20742785127406,-6.1159840946769,319,1.700804,
brazil,2411205,-36.02075446798791,-6.228144420476741,290,1.6944811,
brazil,2412005,-35.3162577406455,-5.770374623416861,2068,1.8511412,
brazil,2412203,-35.255514738817034,-6.027320259216529,1022,2.200953,
brazil,2500601,-34.937515341853484,-7.271721925651062,55,1.9692851,
brazil,2501500,-35.64198374002054,-6.74972357296042,65,2.532589,
brazil,2501807,-34.928714821916074,-7.137034425910225,1193,1.4315791,
brazil,2503209,-34.843760785549534,-7.038987787754623,826,1.553397,
brazil,2503704,-38.55751712996044,-6.887563108097854,483,1.7365392,
brazil,2504009,-35.9043914670395,-7.2397946657383185,3045,1.7350166,
brazil,2504306,-37.746681806003515,-6.344134094164184,241,1.877429,
brazil,2504603,-34.9165526941623,-7.249871339303279,439,2.0359843,
brazil,2506004,-35.85857927677016,-7.0209944802417175,171,2.3329074,
brazil,2506301,-35.48734316709756,-6.858322646261741,337,1.9871324,
brazil,2507507,-34.86582732141587,-7.1486329447245796,5635,1.41378,
brazil,2508307,-35.866187631371744,-7.18720774629195,44,2.2777545,
brazil,2508901,-35.132469140717696,-6.8360806855781675,263,1.8429495,
brazil,2509206,-35.8341925495883,-7.235638796167982,22,2.5604048,
brazil,2509701,-37.12195591673598,-7.896562271254314,284,1.9368075,
brazil,2510808,-37.283449996948896,-7.028734383698491,985,1.7688249,
brazil,2512101,-37.795779519673566,-6.770953149305894,247,1.7552154,
brazil,2512507,-35.895647110452,-7.326354234795278,447,1.9519674,
brazil,2512903,-35.104557853971954,-6.821842489264851,26,2.5968018,
brazil,2513703,-34.96333377219682,-7.138062137527623,1279,1.7155863,
brazil,2513901,-37.44839207758844,-6.48667932328261,282,1.7762738,
brazil,2515302,-35.23076184984977,-7.092248012434349,228,2.049617,
brazil,2516003,-35.66482408718438,-6.757537347960314,147,2.1595864,
brazil,2516201,-38.237466580445556,-6.770090760140506,478,2.014405,
brazil,2600054,-34.912257920527594,-7.911210295915094,1105,1.6301497,
brazil,2600104,-37.63760286606077,-7.752207345814393,301,1.7394884,
brazil,2600500,-37.119681319811065,-9.113920641229512,183,2.0492349,
brazil,2600708,-35.2342486444434,-7.594937914113577,158,2.6164973,
brazil,2601102,-40.50046355836602,-7.585034080810931,503,1.7596002,
brazil,2601201,-37.068443049569936,-8.418217568094025,559,1.69577,
brazil,2601409,-35.19453388949909,-8.81456908781444,227,2.1596768,
brazil,2601706,-36.419597527031776,-8.336297184062225,480,2.0100832,
brazil,2601904,-35.75053487259586,-8.236807915457025,429,1.6444271,
brazil,2602100,-36.68470708309496,-9.167725673924382,192,1.9672413,
brazil,2602308,-35.73337998261947,-8.47376151575114,123,2.5325398,
brazil,2602605,-36.268145062222544,-8.030199619400099,236,1.9507955,
brazil,2602803,-37.15511059256411,-8.616455335108704,110,2.147728,
brazil,2602902,-35.01416542966663,-8.285885386675435,1706,1.9004468,
brazil,2603009,-39.31390925956312,-8.509184133686988,203,1.6539785,
brazil,2603454,-34.99488261154364,-8.00204758784201,1904,2.1510882,
brazil,2604007,-35.24778046100187,-7.845741746574932,605,2.024658,
brazil,2604106,-35.9800657635961,-8.273236460260383,2439,1.7293439,
brazil,2604205,-35.72585066245965,-8.668698592006308,132,2.602516,
brazil,2604601,-35.10281521752339,-7.5873203538809015,127,2.8329105,
brazil,2605004,-35.9523983439386,-8.607020282724733,138,1.7957927,
brazil,2605103,-37.63747782902403,-8.088482439797252,237,1.8466665,
brazil,2605202,-35.23760778568379,-8.370043060760585,301,2.132965,
brazil,2605509,-35.3011126580262,-7.496437132087046,33,2.409363,
brazil,2605707,-38.57865838260528,-8.600715512399558,177,2.5305564,
brazil,2606002,-36.48337400385365,-8.886787852614832,935,1.7565475,
brazil,2606101,-35.29356026231897,-7.991916015037196,151,2.4409485,
brazil,2606200,-34.994159520187395,-7.575917816597952,329,2.0496397,
brazil,2606408,-35.57192411128749,-8.202042492272446,911,1.8018507,
brazil,2606804,-34.913739500312424,-7.8449321329158845,1338,1.6326836,
brazil,2607208,-35.01520618483975,-8.386374730978723,994,1.856421,
brazil,2607604,-34.83639355031381,-7.763760198578308,377,2.2133298,
brazil,2607653,-35.10951676225647,-7.409306883783089,116,2.3425188,
brazil,2607752,-34.915471044881016,-7.780986701858244,280,1.9168786,
brazil,2607901,-34.960725121563044,-8.150969427598303,3779,1.6777446,
brazil,2608503,-35.292852791768716,-7.93001571926847,61,2.4409933,
brazil,2608800,-36.323905114581365,-8.661554401391932,266,2.068247,
brazil,2608909,-35.44604869316413,-7.879732800632704,325,1.6782658,
brazil,2609402,-35.12003262849415,-8.114318620627088,395,2.068728,
brazil,2609501,-35.228638618037216,-7.750143383080321,197,2.219658,
brazil,2609600,-34.86643505465374,-7.991329411111227,2913,1.7255694,
brazil,2609907,-40.08341015103605,-7.88393950626702,360,1.6928397,
brazil,2610004,-35.58873587328291,-8.681985166911709,306,2.387064,
brazil,2610608,-35.14586395608654,-7.908848192965323,519,2.3434193,
brazil,2610707,-34.87000566462823,-7.939540464036949,3306,1.6316605,
brazil,2610905,-36.69510013517252,-8.362658234338225,306,1.7434206,
brazil,2611002,-38.22110085023555,-8.972170164465787,216,1.9913986,
brazil,2611101,-40.516022727381596,-9.364614722469014,3301,1.5727654,
brazil,2611309,-35.34354580082136,-8.132417917828398,38,2.4883523,
brazil,2611606,-34.92089236015669,-8.055204946507816,7730,1.4852473,
brazil,2611804,-35.37948902040588,-8.51163895177253,205,2.5213268,
brazil,2612000,-35.65891104538175,-8.214484830220632,39,1.874251,
brazil,2612208,-39.1276794201778,-8.064749546855317,532,1.7477987,
brazil,2612505,-36.20885513174782,-7.9440237674790035,607,1.8868973,
brazil,2613008,-36.441650154952065,-8.519103952994264,224,1.9367377,
brazil,2613107,-36.12442332454424,-8.330012008921013,227,1.9571764,
brazil,2613206,-36.44249941050351,-8.870284449678573,54,1.966229,
brazil,2613602,-37.276625761545695,-7.475157445277866,185,1.5400181,
brazil,2613701,-35.032451755341924,-8.006066548640064,1170,2.1125162,
brazil,2614204,-35.114685508972755,-8.58971504574062,98,2.6077528,
brazil,2614501,-35.76694532499669,-7.845949820732826,461,1.8700637,
brazil,2614600,-37.53854098461229,-7.594795844324721,185,1.9273139,
brazil,2615003,-36.153461811361446,-7.949028908066853,50,1.8597558,
brazil,2615300,-35.31624799992307,-7.509391580881048,240,1.9023784,
brazil,2615409,-36.065708069503415,-8.004166248744003,240,2.2381914,
brazil,2615607,-40.267399742658704,-7.757379093455639,384,1.818552,
brazil,2616407,-35.29156995477975,-8.117170429112333,803,1.9300929,
brazil,2700300,-36.65710482856428,-9.751646323421763,1764,1.7329773,
brazil,2700409,-36.00894290269972,-9.509050741823534,157,2.4951096,
brazil,2701407,-36.349161250264274,-9.782404481797565,109,2.066692,
brazil,2702009,-36.58135432508063,-9.6489387610857,44,3.1831625,
brazil,2702306,-36.16672347349793,-10.141753990289699,295,1.9429352,
brazil,2702355,-36.74538443503715,-9.64872311588246,25,2.4073586,
brazil,2702405,-38.00144052295606,-9.381965791486897,344,1.7111087,
brazil,2704104,-36.73927981132321,-9.815206940534276,79,2.4245038,
brazil,2704203,-36.55539135822972,-9.75276219545411,53,2.8108287,
brazil,2704302,-35.71906435996446,-9.59829124537098,2184,1.8000064,
brazil,2704500,-35.22754575476685,-9.02502391633649,124,2.3337474,
brazil,2704708,-35.85410257296485,-9.733920537088517,760,2.023958,
brazil,2705101,-35.53200913057293,-9.155701947375388,98,2.4811463,
brazil,2705507,-35.94164124424431,-9.31199984564156,133,2.4844325,
brazil,2706307,-36.63493804010203,-9.417349586496794,429,2.067486,
brazil,2706448,-35.557058964188286,-9.471793849757876,90,2.1558142,
brazil,2706703,-36.559983588179975,-10.280578821630426,356,1.8176051,
brazil,2706901,-35.95948580026462,-9.587263817287443,271,1.9102598,
brazil,2707305,-35.40472307298677,-9.051793082538074,103,2.8534923,
brazil,2707701,-35.82337070903139,-9.50389373553857,768,2.1419487,
brazil,2707909,-35.82268116307721,-9.597922894302924,52,2.312097,
brazil,2708006,-37.246848184875276,-9.371227721736435,194,1.8532317,
brazil,2708501,-35.56535575381261,-9.310993425390455,127,2.5711267,
brazil,2708600,-36.10053431081756,-9.791724311612809,327,2.0140386,
brazil,2708907,-35.822222406477955,-9.558237100115717,189,2.1488006,
brazil,2709152,-36.357673134071504,-9.906819401244228,231,2.0767682,
brazil,2709301,-36.02236284866557,-9.154345878929579,256,2.1580887,
brazil,2800308,-37.07924771968765,-10.95736127197248,4014,1.4581468,
brazil,2800605,-37.02513072181793,-10.915048917535847,540,1.7296827,
brazil,2801306,-37.057216714491524,-10.50930097430326,161,2.7127125,
brazil,2802106,-37.436230904709504,-11.25702041675088,413,2.012339,
brazil,2802908,-37.42511841094656,-10.695751201014014,706,1.9544268,
brazil,2803005,-37.78989057066348,-11.273436291934296,202,2.2252023,
brazil,2803500,-37.670595787211624,-10.92043087439776,501,2.1292908,
brazil,2803609,-37.15322817064312,-10.799129553236863,244,2.2696807,
brazil,2804508,-37.42179819025326,-10.21256261927746,233,1.7212702,
brazil,2804805,-37.122973373489216,-10.88554408965938,889,1.9372613,
brazil,2805703,-36.836782007541416,-10.220974329973826,157,2.2063375,
brazil,2806701,-37.117487028658076,-10.935004997620888,620,1.7093043,
brazil,2807105,-37.80597741012687,-10.743206791574833,180,2.0133188,
brazil,2807402,-37.99635788004271,-11.178082274501216,229,1.8935627,
brazil,2900702,-38.41960366845992,-12.138516353039753,1174,1.9525622,
brazil,2901007,-39.60228341382193,-13.024786897076503,235,2.5087068,
brazil,2902104,-38.96036479848572,-11.337277114081017,187,2.015601,
brazil,2902708,-43.148280412118424,-11.087177861949108,238,1.714316,
brazil,2902906,-40.5756220921487,-14.867845615835765,171,2.1737518,
brazil,2903201,-44.99109788490239,-12.139091796881374,1514,1.7241424,
brazil,2903904,-43.39983017244905,-13.256034106778092,553,1.766851,
brazil,2904605,-41.68003647541098,-14.212212684172902,614,1.7509894,
brazil,2905206,-42.486200089658006,-14.063856873960477,342,1.8722955,
brazil,2905701,-38.28924903986869,-12.714533447260601,4515,1.8688965,
brazil,2906006,-40.32236322282814,-10.50736618466202,176,1.9304634,
brazil,2906303,-38.94892637261099,-15.672571014749131,187,1.6491892,
brazil,2906501,-38.50223419192349,-12.699849842277425,703,2.2842684,
brazil,2906873,-40.01089755555109,-11.379941414628117,358,2.0144057,
brazil,2907202,-40.97392390655165,-9.171647218852309,244,1.6306847,
brazil,2907509,-38.38386305470452,-12.362686415221688,263,2.4999385,
brazil,2907806,-38.38223824185881,-10.591321162459561,164,2.1081538,
brazil,2908408,-39.286774529788296,-11.55913226727667,401,2.276109,
brazil,2908507,-38.77751022371903,-12.338665960304946,473,2.3970501,
brazil,2909802,-39.11157599152554,-12.666262559471377,519,2.2256908,
brazil,2910057,-38.31583667333487,-12.61927353121044,1211,1.8897069,
brazil,2910503,-38.08083114576963,-11.945683087260601,227,2.169988,
